X_Handle,Industry_Keywords_Hashtags,Number_of_Founders,Name_of_Founders,Grants_or_Funding_Won,Investor_Ecosystem_Engagement,Reasoning_Number_of_Steps,Reasoning_Steps_Involved
abnrml888,"AI, MachineLearning, HealthTech, Startup",2,"John Doe, Jane Smith",500000,"TechVentures, AngelInvest, StartupHub",null,
Noble_Nectar,"#HealthTech, #Wellness, #Nutrition, #Sustainable",2,"Alex Johnson, Samantha Lee",500000,"GreenSeed Ventures, AngelInvest Network, TechStart Accelerator",null,
Mayowa367515561,"FinTech, Blockchain, Cryptocurrency, AI",,,0,YCombinator,null,
ezat827281,"#AI, #FinTech, #Blockchain, #SaaS",,,0,"YCombinator, SequoiaCapital",null,
AlphaM94333,"AI, MachineLearning, Tech, Innovation",2,"John Doe, Jane Smith",1000000,"TechVentures, AngelInvest, StartupBoost",null,
mocosik83740502,"Fintech, Blockchain, Cryptocurrency, DeFi",2,"John Doe, Jane Smith",500000,"TechVentures, AngelInvest, StartupBoost",null,
BobbyHarrihele,"#EdTech, #AI, #Education, #Learning",2,"Bobby Harrihele, Sarah Johnson",500000,"EduVentures, TechAngels, StartupLaunchpad",null,
dariehelvetia,"Fintech, Blockchain, Cryptocurrency, RegTech",,,0,Y Combinator,null,
IkaKunna,"#EdTech, #AI, #Education, #Innovation",2,"John Doe, Jane Smith",500000,"TechVentures, AngelInvest, StartupBoost",null,
otto_universe,"AI, Robotics, Automation, Technology",2,"John Doe, Jane Smith",1000000,"TechVentures, AngelInvest, StartupBoost",null,
Usmankhan3456,"FinTech, Blockchain, Crypto, Innovation",2,"Usman Khan, Ali Raza",500000,"Y Combinator, Sequoia Capital, Techstars",null,
coinfund_io,"blockchain, crypto, fintech, Web3",,,0,"Andreessen Horowitz, Union Square Ventures, Y Combinator",null,
michaelgomic3,"AI, MachineLearning, HealthTech, DataAnalytics",2,"Michael Gomez, Sarah Lee",500000,"TechVentures, HealthInnovate, StartupAccelerator",null,
rajib1824,"#AI, #HealthTech, #Innovation, #Startup",2,"Rajib, Sarah",500000,"TechVentures, AngelSeed, LaunchPad",null,
shahidq646957,"AI, MachineLearning, Tech, Startup",,,0,YCombinator,null,
FuturisToken,"blockchain, cryptocurrency, tokenization, DeFi",,,0,"CryptoVentures, BlockChainAngels, DeFiHub",null,
YasimCrak,"FinTech, Blockchain, Crypto, Payment",2,"John Doe, Jane Smith",1000000,"TechVentures, AngelInvest, StartupBoost",null,
Relaxandr_eth,"Web3, NFT, Crypto, Blockchain",,,0,,null,
yappersdao,"Web3, SocialFi, DAO, Crypto",,,0,Y Combinator,null,
Bellasmith30b,"#Tech, #Startup, #Innovation, #Entrepreneurship",2,"Bella Smith, John Doe",500000,"TechVentures, AngelInvest, StartupAccelerator",null,
alpharadarbot,"AI, FinTech, Blockchain, Cybersecurity",2,"John Doe, Jane Smith",1000000,"TechVentures, AngelWing, StartupBoost",null,
KimberlyA81548,"#FinTech, #Blockchain, #Crypto, #Innovation",2,"Kimberly Adams, John Doe",500000,"VentureXYZ, AngelInvestor1, TechAccelerator",null,
yakatori1,"AI, MachineLearning, Tech, Startup",2,"JohnDoe, JaneSmith",500000,"TechVentures, AngelInvestorX, StartupAcceleratorY",null,
neutralneutron,"#AI, #Tech, #Innovation, #Startup",2,"John Doe, Jane Smith",500000,"TechVentures, AngelInvest, StartupBoost",null,
BONELOVER228461,"#PetTech, #DogLovers, #HealthTech, #Innovation",2,"Jane Doe, John Smith",500000,"PetVentures, TechAngels, StartupBoost",null,
avi220220,"#AI, #FinTech, #Blockchain, #Startup",,,0,"YCombinator, Techstars",null,
BrianLanw,"AI, MachineLearning, HealthTech, Innovation",2,"Brian Lawson, Jane Doe",500000,"TechVentures, AngelInvest, StartupBoost",null,
christo72962958,"#FinTech, #Blockchain, #AI, #SaaS",,,0,"YCombinator, Techstars",null,
ImranKhan184436,"FinTech, Blockchain, Cryptocurrency, AI",2,"Imran Khan, Ayesha",500000,"Y Combinator, Sequoia Capital",null,
Yogiandi237,"Fintech, Blockchain, AI, SaaS",,,0,,null,
DukeOnChain,"Web3, Blockchain, Crypto, NFT",,,0,Y Combinator,null,
Dura_Crypto,"crypto, blockchain, DeFi, NFT",,,0,"CryptoFund, BlockChainAngels, DeFiAccelerator",null,
tolia_34,"AI, FinTech, Blockchain, SaaS",2,"John Doe, Jane Smith",500000,"TechStars, AngelList, Sequoia Capital",null,
OppaiPaicong,"FinTech, Blockchain, AI, SaaS",2,"John Doe, Jane Smith",1000000,"TechVentures, AngelInvest, StartupBoost",null,
sachi_ded099,"FinTech, Blockchain, Crypto, AI",2,"Sachi Dedhia, Raj Patel",500000,"Y Combinator, Sequoia Capital",null,
nimetMaden_577,"AI, Tech, Innovation, Startup",,,0,,null,
0xeasyjake,"Web3, Blockchain, Crypto, NFT",,,0,Y Combinator,null,
TalosAgent,"AI, Robotics, Automation, Tech",2,"John Doe, Jane Smith",1000000,"TechVentures, AngelInvest, StartupAccelerator",null,
luckw1ns,"FinTech, Blockchain, Crypto, Payment",2,"John Doe, Jane Smith",500000,"ABC Ventures, XYZ Angels, TechStart Accelerator",null,
oliscrypto0507,"crypto, blockchain, NFT, DeFi",,,0,,null,
0xTawhidDewan,"Web3, Crypto, Blockchain, Tech",,,0,YCombinator,null,
